id,image1,image2,image3,trial,triplet_class
participant_0,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n04536866_6609.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03944341_9359.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03642806_15958.JPEG,0,between_class
participant_0,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n02097047_1235.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03814639_1611.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n02097047_2425.JPEG,1,class_boundary
participant_0,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n07714990_3290.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n07714990_3658.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n07714990_4140.JPEG,2,within_class
participant_0,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n06874185_9914.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03026506_1368.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03388549_260.JPEG,3,between_class
participant_0,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n02165456_16377.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n02606052_10802.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n02165456_5807.JPEG,4,class_boundary
participant_0,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n04350905_4311.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n01629819_3321.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03602883_13584.JPEG,5,between_class
participant_0,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n13052670_6574.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n04252077_7930.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n01871265_353.JPEG,6,between_class
participant_0,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n02988304_3035.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n02988304_9029.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n04228054_12480.JPEG,7,class_boundary
participant_0,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n04235860_10166.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n04235860_5373.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n04560804_5459.JPEG,8,class_boundary
participant_0,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03803284_1672.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n04009552_11794.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n04009552_9949.JPEG,9,class_boundary
participant_0,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03857828_20898.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03857828_20811.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03857828_63773.JPEG,10,within_class
participant_0,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03445924_1538.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03590841_10949.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n02906734_4318.JPEG,11,between_class
participant_0,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n04371774_12955.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03954731_34747.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03954731_10149.JPEG,12,class_boundary
participant_0,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n07613480_11812.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n01498041_5012.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n01773797_7122.JPEG,13,between_class
participant_0,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03888257_13114.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03888257_297.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03888257_13476.JPEG,14,within_class
participant_0,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03481172_2382.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n04326547_11116.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n04326547_2934.JPEG,15,class_boundary
participant_0,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03498962_43082.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03498962_2919.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03498962_8454.JPEG,16,within_class
participant_0,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n07583066_1143.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03126707_14419.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n04590129_24557.JPEG,17,between_class
participant_0,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03393912_13645.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n07684084_4440.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03124043_6038.JPEG,18,between_class
participant_0,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n04523525_55996.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n07697313_9135.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n04523525_10690.JPEG,19,class_boundary
participant_0,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n04086273_229.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n02422699_29013.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n02895154_8864.JPEG,20,between_class
participant_0,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n04350905_29147.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n02127052_1944.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n04350905_25270.JPEG,21,class_boundary
participant_0,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03207941_5713.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03045698_65.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n02361337_8.JPEG,22,between_class
participant_0,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n04254777_8653.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n04254777_5145.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n04254777_21792.JPEG,23,within_class
participant_0,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n04133789_9592.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n12144580_4467.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n04133789_1254.JPEG,24,class_boundary
participant_0,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03785016_20945.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n02346627_7039.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03127925_8083.JPEG,25,between_class
participant_0,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n04133789_1226.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n04133789_10202.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n04133789_13097.JPEG,26,within_class
participant_0,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03733131_3103.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n07717556_9055.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n12998815_11571.JPEG,27,between_class
participant_0,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n07584110_5765.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03630383_10995.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n07584110_8410.JPEG,28,class_boundary
participant_0,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03781244_28525.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03781244_15818.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03781244_123043.JPEG,29,within_class
participant_0,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n02114855_4424.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n02114855_14704.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n02114855_15976.JPEG,30,within_class
participant_0,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n02992529_48061.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n02992529_29428.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n02992529_35446.JPEG,31,within_class
participant_0,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03032252_27492.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03032252_51990.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03032252_49057.JPEG,32,within_class
participant_0,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n02692877_6475.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n04507155_6094.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n02415577_60866.JPEG,33,between_class
participant_0,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n02363005_6343.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03709823_3140.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03447721_9831.JPEG,34,between_class
participant_0,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03110669_79199.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03110669_162393.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03110669_140137.JPEG,35,within_class
participant_0,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03843555_8018.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03843555_3661.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03843555_3250.JPEG,36,within_class
participant_0,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03461385_72736.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03461385_59041.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n02117135_10703.JPEG,37,class_boundary
participant_0,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03838899_51117.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03838899_33287.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03838899_26964.JPEG,38,within_class
participant_0,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03404251_17965.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03065424_8344.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n04462240_16441.JPEG,39,between_class
participant_0,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n04456115_8766.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n03028079_9969.JPEG,stimuli/imagenet2012_human_eval_v2.1_category_stratified_triplets/n04423845_1304.JPEG,40,between_class
